test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.01,51.32,51.79,40.62,71.44,55.57,0.01,49.49,66.21,49.49,100.00,50.00,0.02,53.70,69.88,53.70,100.00,50.00,-4.21,-3.67
34,0.01,49.91,48.46,38.88,64.32,52.95,0.01,49.49,66.21,49.49,100.00,50.00,0.02,56.41,72.13,56.41,100.00,50.00,-6.92,-5.92
36,0.01,52.44,50.36,40.67,66.13,55.35,0.01,49.49,66.21,49.49,100.00,50.00,0.01,80.65,89.29,80.65,100.00,50.00,-31.16,-23.07
37,0.01,51.06,51.85,40.56,71.85,55.44,0.01,49.49,66.21,49.49,100.00,50.00,0.03,33.33,50.00,33.33,100.00,50.00,16.16,16.21
38,0.01,50.43,50.49,39.81,69.01,54.35,0.01,49.49,66.21,49.49,100.00,50.00,0.02,40.31,57.46,40.31,100.00,50.00,9.18,8.75
43,0.01,53.05,57.44,43.14,85.94,59.89,0.01,49.49,66.21,49.49,100.00,50.00,0.02,36.25,51.91,35.05,100.00,51.40,13.24,14.30
44,0.01,52.03,52.45,46.23,60.59,53.00,0.01,49.49,66.21,49.49,100.00,50.00,0.02,34.92,33.30,20.04,98.50,60.43,14.57,32.91
46,0.01,50.63,53.66,41.18,76.99,56.02,0.01,49.49,66.21,49.49,100.00,50.00,0.01,34.99,51.84,34.99,100.00,50.00,14.50,14.38
49,0.01,51.05,49.67,39.62,66.56,54.39,0.01,49.49,66.21,49.49,100.00,50.00,0.01,48.07,64.93,48.07,100.00,50.00,1.42,1.28
50,0.01,51.42,49.24,39.46,65.45,54.49,0.01,49.49,66.21,49.49,100.00,50.00,0.02,53.52,69.73,53.52,100.00,50.00,-4.03,-3.52
51,0.01,50.37,49.96,39.28,68.62,54.34,0.01,49.49,66.21,49.49,100.00,50.00,0.01,53.23,69.48,53.23,100.00,50.00,-3.74,-3.26
52,0.01,50.85,50.62,39.62,70.07,55.07,0.01,49.49,66.21,49.49,100.00,50.00,0.01,53.96,70.09,53.96,100.00,50.00,-4.47,-3.88
53,0.01,50.22,50.43,39.45,69.85,54.46,0.01,49.49,66.21,49.49,100.00,50.00,0.02,50.11,66.76,50.11,100.00,50.00,-0.62,-0.55
54,0.01,50.60,51.81,40.21,72.83,55.33,0.01,49.49,66.21,49.49,100.00,50.00,0.02,43.56,60.69,43.56,100.00,50.00,5.93,5.53
55,0.01,54.15,52.77,42.38,69.92,57.48,0.01,49.49,66.21,49.49,100.00,50.00,0.01,37.87,54.93,37.87,100.00,50.00,11.62,11.28
56,0.01,52.84,51.17,41.39,66.98,55.77,0.01,49.49,66.21,49.49,100.00,50.00,0.02,30.02,46.18,30.02,100.00,50.00,19.47,20.03
58,0.01,54.77,53.24,42.87,70.24,58.03,0.01,49.49,66.21,49.49,100.00,50.00,0.02,36.67,53.66,36.67,100.00,50.00,12.82,12.55
60,0.01,51.60,49.99,39.72,67.43,55.09,0.01,49.49,66.21,49.49,100.00,50.00,0.01,54.32,70.40,54.32,100.00,50.00,-4.83,-4.18
61,0.01,52.54,52.07,40.73,72.16,56.90,0.01,49.49,66.21,49.49,100.00,50.00,0.02,67.68,80.72,67.68,100.00,50.00,-18.19,-14.51
62,0.01,52.36,52.31,41.29,71.38,56.38,0.01,49.49,66.21,49.49,100.00,50.00,0.02,38.66,55.76,38.66,100.00,50.00,10.83,10.45
63,0.01,50.14,49.48,39.26,66.88,53.70,0.01,49.49,66.21,49.49,100.00,50.00,0.01,42.56,59.71,42.56,100.00,50.00,6.93,6.51
