test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.012935,51.32,51.79,40.62,71.44,55.57,0.014683,49.49,66.21,49.49,100.0,50.0,0.016599,53.7,69.88,53.7,100.0,50.0
34,0.013247,49.91,48.46,38.88,64.32,52.95,0.01466,49.49,66.21,49.49,100.0,50.0,0.02278,56.41,72.13,56.41,100.0,50.0
36,0.01373,52.44,50.36,40.67,66.13,55.35,0.014682,49.49,66.21,49.49,100.0,50.0,0.01342,80.65,89.29,80.65,100.0,50.0
37,0.013273,51.06,51.85,40.56,71.85,55.44,0.01465,49.49,66.21,49.49,100.0,50.0,0.03146,33.33,50.0,33.33,100.0,50.0
38,0.013104,50.43,50.49,39.81,69.01,54.35,0.014665,49.49,66.21,49.49,100.0,50.0,0.020553,40.31,57.46,40.31,100.0,50.0
43,0.012159,53.05,57.44,43.14,85.94,59.89,0.014629,49.49,66.21,49.49,100.0,50.0,0.018724,36.25,51.91,35.05,100.0,51.4
44,0.011864,52.03,52.45,46.23,60.59,53.0,0.012809,49.49,66.21,49.49,100.0,50.0,0.016706,34.92,33.3,20.04,98.5,60.43
46,0.012682,50.63,53.66,41.18,76.99,56.02,0.014511,49.49,66.21,49.49,100.0,50.0,0.014623,34.99,51.84,34.99,100.0,50.0
49,0.013153,51.05,49.67,39.62,66.56,54.39,0.014774,49.49,66.21,49.49,100.0,50.0,0.0147,48.07,64.93,48.07,100.0,50.0
50,0.013197,51.42,49.24,39.46,65.45,54.49,0.014892,49.49,66.21,49.49,100.0,50.0,0.015027,53.52,69.73,53.52,100.0,50.0
51,0.01323,50.37,49.96,39.28,68.62,54.34,0.014783,49.49,66.21,49.49,100.0,50.0,0.014046,53.23,69.48,53.23,100.0,50.0
52,0.013056,50.85,50.62,39.62,70.07,55.07,0.014875,49.49,66.21,49.49,100.0,50.0,0.014616,53.96,70.09,53.96,100.0,50.0
53,0.013037,50.22,50.43,39.45,69.85,54.46,0.014772,49.49,66.21,49.49,100.0,50.0,0.015222,50.11,66.76,50.11,100.0,50.0
54,0.012937,50.6,51.81,40.21,72.83,55.33,0.01469,49.49,66.21,49.49,100.0,50.0,0.015029,43.56,60.69,43.56,100.0,50.0
55,0.012807,54.15,52.77,42.38,69.92,57.48,0.014653,49.49,66.21,49.49,100.0,50.0,0.014547,37.87,54.93,37.87,100.0,50.0
56,0.012878,52.84,51.17,41.39,66.98,55.77,0.014585,49.49,66.21,49.49,100.0,50.0,0.016353,30.02,46.18,30.02,100.0,50.0
58,0.012739,54.77,53.24,42.87,70.24,58.03,0.01461,49.49,66.21,49.49,100.0,50.0,0.015454,36.67,53.66,36.67,100.0,50.0
60,0.013148,51.6,49.99,39.72,67.43,55.09,0.014856,49.49,66.21,49.49,100.0,50.0,0.014684,54.32,70.4,54.32,100.0,50.0
61,0.012971,52.54,52.07,40.73,72.16,56.9,0.01491,49.49,66.21,49.49,100.0,50.0,0.015351,67.68,80.72,67.68,100.0,50.0
62,0.012942,52.36,52.31,41.29,71.38,56.38,0.014703,49.49,66.21,49.49,100.0,50.0,0.016318,38.66,55.76,38.66,100.0,50.0
63,0.013151,50.14,49.48,39.26,66.88,53.7,0.014709,49.49,66.21,49.49,100.0,50.0,0.01476,42.56,59.71,42.56,100.0,50.0
Average,0.012964,51.61,51.39,40.78,69.74,55.43,0.014624,49.49,66.21,49.49,100.0,50.0,0.016713,46.7,61.85,45.94,99.93,50.56
