test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.01,51.92,51.90,40.94,70.85,55.92,0.01,49.49,66.21,49.49,100.00,50.00,0.02,53.70,69.88,53.70,100.00,50.00,-4.21,-3.67
34,0.01,50.07,51.35,39.91,71.96,54.69,0.01,49.49,66.21,49.49,100.00,50.00,0.02,56.41,72.13,56.41,100.00,50.00,-6.92,-5.92
36,0.01,52.30,51.63,40.97,69.76,56.01,0.01,49.49,66.21,49.49,100.00,50.00,0.01,80.65,89.29,80.65,100.00,50.00,-31.16,-23.07
37,0.01,53.33,52.20,41.80,69.50,56.74,0.01,49.49,66.21,49.49,100.00,50.00,0.03,33.33,50.00,33.33,100.00,50.00,16.16,16.21
38,0.01,49.87,51.03,39.74,71.29,54.39,0.01,49.49,66.21,49.49,100.00,50.00,0.02,40.31,57.46,40.31,100.00,50.00,9.18,8.75
43,0.01,54.39,54.41,43.08,73.82,58.43,0.01,49.49,66.21,49.49,100.00,50.00,0.05,39.62,53.26,36.30,100.00,53.97,9.87,12.95
44,0.01,52.02,52.24,46.19,60.12,52.93,0.01,49.49,66.21,49.49,100.00,50.00,0.01,34.84,33.31,20.04,98.65,60.45,14.65,32.90
46,0.01,54.72,54.25,43.41,72.29,58.32,0.01,49.49,66.21,49.49,100.00,50.00,0.01,34.99,51.84,34.99,100.00,50.00,14.50,14.38
49,0.01,54.65,55.11,43.01,76.69,59.40,0.01,49.49,66.21,49.49,100.00,50.00,0.01,48.07,64.93,48.07,100.00,50.00,1.42,1.28
50,0.01,54.67,55.20,42.84,77.57,59.68,0.01,49.49,66.21,49.49,100.00,50.00,0.02,53.52,69.73,53.52,100.00,50.00,-4.03,-3.52
51,0.01,52.96,53.24,41.52,74.17,57.57,0.02,49.49,66.21,49.49,100.00,50.00,0.02,53.23,69.48,53.23,100.00,50.00,-3.74,-3.26
52,0.01,48.75,51.36,38.98,75.26,54.56,0.01,49.49,66.21,49.49,100.00,50.00,0.01,53.96,70.09,53.96,100.00,50.00,-4.47,-3.88
53,0.01,51.42,49.63,39.76,66.03,54.57,0.01,49.49,66.21,49.49,100.00,50.00,0.02,50.11,66.76,50.11,100.00,50.00,-0.62,-0.55
54,0.01,53.37,53.71,42.10,74.17,57.80,0.01,49.49,66.21,49.49,100.00,50.00,0.01,43.56,60.69,43.56,100.00,50.00,5.93,5.53
55,0.01,52.85,54.34,42.11,76.59,57.86,0.01,49.49,66.21,49.49,100.00,50.00,0.01,37.87,54.93,37.87,100.00,50.00,11.62,11.28
56,0.01,53.47,54.91,42.73,76.79,58.32,0.01,49.49,66.21,49.49,100.00,50.00,0.02,30.02,46.18,30.02,100.00,50.00,19.47,20.03
58,0.01,51.10,49.87,39.95,66.35,54.31,0.01,49.49,66.21,49.49,100.00,50.00,0.02,36.67,53.66,36.67,100.00,50.00,12.82,12.55
60,0.01,52.26,51.40,40.49,70.37,56.25,0.01,49.49,66.21,49.49,100.00,50.00,0.01,54.32,70.40,54.32,100.00,50.00,-4.83,-4.18
61,0.01,53.48,51.12,40.92,68.08,56.72,0.01,49.49,66.21,49.49,100.00,50.00,0.02,67.68,80.72,67.68,100.00,50.00,-18.19,-14.51
62,0.01,52.67,53.25,41.71,73.61,57.09,0.02,49.49,66.21,49.49,100.00,50.00,0.02,38.66,55.76,38.66,100.00,50.00,10.83,10.45
63,0.01,51.59,50.84,40.39,68.59,55.20,0.01,49.49,66.21,49.49,100.00,50.00,0.01,42.56,59.71,42.56,100.00,50.00,6.93,6.51
