test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.012968,51.92,51.9,40.94,70.85,55.92,0.014671,49.49,66.21,49.49,100.0,50.0,0.016561,53.7,69.88,53.7,100.0,50.0
34,0.012952,50.07,51.35,39.91,71.96,54.69,0.014654,49.49,66.21,49.49,100.0,50.0,0.022661,56.41,72.13,56.41,100.0,50.0
36,0.012938,52.3,51.63,40.97,69.76,56.01,0.014702,49.49,66.21,49.49,100.0,50.0,0.01385,80.65,89.29,80.65,100.0,50.0
37,0.012803,53.33,52.2,41.8,69.5,56.74,0.014706,49.49,66.21,49.49,100.0,50.0,0.029993,33.33,50.0,33.33,100.0,50.0
38,0.012973,49.87,51.03,39.74,71.29,54.39,0.014655,49.49,66.21,49.49,100.0,50.0,0.021617,40.31,57.46,40.31,100.0,50.0
43,0.012412,54.39,54.41,43.08,73.82,58.43,0.014591,49.49,66.21,49.49,100.0,50.0,0.047141,39.62,53.26,36.3,100.0,53.97
44,0.011776,52.02,52.24,46.19,60.12,52.93,0.012867,49.49,66.21,49.49,100.0,50.0,0.012119,34.84,33.31,20.04,98.65,60.45
46,0.012463,54.72,54.25,43.41,72.29,58.32,0.014521,49.49,66.21,49.49,100.0,50.0,0.014239,34.99,51.84,34.99,100.0,50.0
49,0.01256,54.65,55.11,43.01,76.69,59.4,0.014883,49.49,66.21,49.49,100.0,50.0,0.014902,48.07,64.93,48.07,100.0,50.0
50,0.012517,54.67,55.2,42.84,77.57,59.68,0.014845,49.49,66.21,49.49,100.0,50.0,0.015181,53.52,69.73,53.52,100.0,50.0
51,0.01275,52.96,53.24,41.52,74.17,57.57,0.018613,49.49,66.21,49.49,100.0,50.0,0.016726,53.23,69.48,53.23,100.0,50.0
52,0.013039,48.75,51.36,38.98,75.26,54.56,0.01484,49.49,66.21,49.49,100.0,50.0,0.014539,53.96,70.09,53.96,100.0,50.0
53,0.01321,51.42,49.63,39.76,66.03,54.57,0.014769,49.49,66.21,49.49,100.0,50.0,0.015231,50.11,66.76,50.11,100.0,50.0
54,0.012678,53.37,53.71,42.1,74.17,57.8,0.014704,49.49,66.21,49.49,100.0,50.0,0.01491,43.56,60.69,43.56,100.0,50.0
55,0.012618,52.85,54.34,42.11,76.59,57.86,0.014654,49.49,66.21,49.49,100.0,50.0,0.014578,37.87,54.93,37.87,100.0,50.0
56,0.012589,53.47,54.91,42.73,76.79,58.32,0.014607,49.49,66.21,49.49,100.0,50.0,0.016459,30.02,46.18,30.02,100.0,50.0
58,0.013023,51.1,49.87,39.95,66.35,54.31,0.014644,49.49,66.21,49.49,100.0,50.0,0.015296,36.67,53.66,36.67,100.0,50.0
60,0.012975,52.26,51.4,40.49,70.37,56.25,0.014931,49.49,66.21,49.49,100.0,50.0,0.014965,54.32,70.4,54.32,100.0,50.0
61,0.013019,53.48,51.12,40.92,68.08,56.72,0.014925,49.49,66.21,49.49,100.0,50.0,0.015004,67.68,80.72,67.68,100.0,50.0
62,0.012904,52.67,53.25,41.71,73.61,57.09,0.01521,49.49,66.21,49.49,100.0,50.0,0.016373,38.66,55.76,38.66,100.0,50.0
63,0.012983,51.59,50.84,40.39,68.59,55.2,0.014688,49.49,66.21,49.49,100.0,50.0,0.014911,42.56,59.71,42.56,100.0,50.0
Average,0.012769,52.47,52.52,41.55,71.61,56.51,0.014842,49.49,66.21,49.49,100.0,50.0,0.017965,46.86,61.91,46.0,99.94,50.69
