test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.012332,52.44,59.26,43.16,94.48,61.32,0.014697,49.49,66.21,49.49,100.0,50.0,0.016645,53.7,69.88,53.7,100.0,50.0
34,0.012276,51.37,59.0,42.67,95.57,60.7,0.014649,49.49,66.21,49.49,100.0,50.0,0.022703,56.41,72.13,56.41,100.0,50.0
36,0.012656,47.69,57.9,40.99,98.56,58.51,0.014685,49.49,66.21,49.49,100.0,50.0,0.01366,80.65,89.29,80.65,100.0,50.0
37,0.011793,54.03,60.99,44.27,98.0,63.28,0.014632,49.49,66.21,49.49,100.0,50.0,0.031082,33.33,50.0,33.33,100.0,50.0
38,0.012102,52.48,59.35,43.22,94.7,61.38,0.014668,49.49,66.21,49.49,100.0,50.0,0.02031,40.31,57.46,40.31,100.0,50.0
43,0.011569,57.98,61.73,46.47,91.91,65.04,0.014607,49.49,66.21,49.49,100.0,50.0,0.012268,64.37,65.88,49.12,100.0,72.84
44,0.009678,60.99,59.98,54.31,66.98,61.67,0.012824,49.49,66.21,49.49,100.0,50.0,0.070285,34.47,33.01,19.85,97.9,59.92
46,0.012006,55.92,59.16,45.09,85.99,62.07,0.014498,49.49,66.21,49.49,100.0,50.0,0.014412,34.99,51.84,34.99,100.0,50.0
49,0.012262,53.26,58.31,43.11,90.07,61.18,0.014765,49.49,66.21,49.49,100.0,50.0,0.014711,48.07,64.93,48.07,100.0,50.0
50,0.012553,51.18,57.81,41.96,92.9,60.31,0.014819,49.49,66.21,49.49,100.0,50.0,0.015034,53.52,69.73,53.52,100.0,50.0
51,0.012736,48.94,57.1,40.98,94.11,58.76,0.014826,49.49,66.21,49.49,100.0,50.0,0.014169,53.23,69.48,53.23,100.0,50.0
52,0.012614,52.69,57.69,42.51,89.7,60.81,0.014875,49.49,66.21,49.49,100.0,50.0,0.014668,53.96,70.09,53.96,100.0,50.0
53,0.012073,53.95,59.34,43.63,92.71,62.32,0.014781,49.49,66.21,49.49,100.0,50.0,0.01524,50.11,66.76,50.11,100.0,50.0
54,0.012395,52.66,58.07,42.89,89.89,60.59,0.014738,49.49,66.21,49.49,100.0,50.0,0.01484,43.56,60.69,43.56,100.0,50.0
55,0.012509,51.07,58.03,42.31,92.34,59.77,0.014723,49.49,66.21,49.49,100.0,50.0,0.014401,37.87,54.93,37.87,100.0,50.0
56,0.011897,54.09,60.95,44.41,97.12,63.03,0.014593,49.49,66.21,49.49,100.0,50.0,0.016245,30.02,46.18,30.02,100.0,50.0
58,0.012633,47.11,57.97,40.9,99.48,58.14,0.014641,49.49,66.21,49.49,100.0,50.0,0.015397,36.67,53.66,36.67,100.0,50.0
60,0.012712,48.42,57.32,40.76,96.57,59.02,0.014855,49.49,66.21,49.49,100.0,50.0,0.014815,54.32,70.4,54.32,100.0,50.0
61,0.012393,49.79,58.54,41.52,99.25,60.77,0.014909,49.49,66.21,49.49,100.0,50.0,0.01528,67.68,80.72,67.68,100.0,50.0
62,0.01264,51.59,59.85,42.97,98.57,61.51,0.014664,49.49,66.21,49.49,100.0,50.0,0.016455,38.66,55.76,38.66,100.0,50.0
63,0.012742,47.63,58.03,41.01,99.17,58.59,0.01468,49.49,66.21,49.49,100.0,50.0,0.014886,42.56,59.71,42.56,100.0,50.0
Average,0.012218,52.16,58.88,43.29,93.24,60.89,0.014625,49.49,66.21,49.49,100.0,50.0,0.018929,48.02,62.5,46.6,99.9,51.56
