test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.01,49.92,58.57,42.01,96.70,59.81,0.01,49.49,66.21,49.49,100.00,50.00,0.02,53.70,69.88,53.70,100.00,50.00,-4.21,-3.67
34,0.01,53.49,59.47,43.67,93.18,61.87,0.01,49.49,66.21,49.49,100.00,50.00,0.02,56.41,72.13,56.41,100.00,50.00,-6.92,-5.92
36,0.01,47.09,57.92,40.80,99.79,58.30,0.01,49.49,66.21,49.49,100.00,50.00,0.01,80.65,89.29,80.65,100.00,50.00,-31.16,-23.07
37,0.01,51.03,58.52,42.45,94.20,60.12,0.01,49.49,66.21,49.49,100.00,50.00,0.03,33.33,50.00,33.33,100.00,50.00,16.16,16.21
38,0.01,52.00,59.10,42.96,94.67,61.00,0.01,49.49,66.21,49.49,100.00,50.00,0.02,40.31,57.46,40.31,100.00,50.00,9.18,8.75
43,0.01,59.18,64.09,47.43,98.79,67.42,0.01,49.49,66.21,49.49,100.00,50.00,0.01,65.21,66.42,49.72,100.00,73.48,-15.72,-0.21
44,0.01,76.78,69.95,80.38,61.91,75.10,0.01,49.49,66.21,49.49,100.00,50.00,0.03,34.82,33.06,19.90,97.60,60.01,14.67,33.15
46,0.01,57.05,60.08,45.87,87.04,63.19,0.01,49.49,66.21,49.49,100.00,50.00,0.01,34.99,51.84,34.99,100.00,50.00,14.50,14.38
49,0.01,45.90,57.18,40.12,99.53,57.44,0.01,49.49,66.21,49.49,100.00,50.00,0.01,48.07,64.93,48.07,100.00,50.00,1.42,1.28
50,0.01,54.24,60.21,43.82,96.17,63.41,0.01,49.49,66.21,49.49,100.00,50.00,0.02,53.52,69.73,53.52,100.00,50.00,-4.03,-3.52
51,0.01,52.30,58.44,42.63,92.89,61.12,0.01,49.49,66.21,49.49,100.00,50.00,0.01,53.23,69.48,53.23,100.00,50.00,-3.74,-3.26
52,0.01,48.66,57.93,41.06,98.32,59.55,0.01,49.49,66.21,49.49,100.00,50.00,0.01,53.96,70.09,53.96,100.00,50.00,-4.47,-3.88
53,0.01,48.58,57.97,41.19,97.82,59.21,0.01,49.49,66.21,49.49,100.00,50.00,0.02,50.11,66.76,50.11,100.00,50.00,-0.62,-0.55
54,0.01,49.12,58.62,41.67,98.83,59.71,0.01,49.49,66.21,49.49,100.00,50.00,0.01,43.56,60.69,43.56,100.00,50.00,5.93,5.53
55,0.01,51.79,58.85,42.81,94.08,60.71,0.01,49.49,66.21,49.49,100.00,50.00,0.01,37.87,54.93,37.87,100.00,50.00,11.62,11.28
56,0.01,51.85,58.87,42.98,93.41,60.49,0.01,49.49,66.21,49.49,100.00,50.00,0.02,30.02,46.18,30.02,100.00,50.00,19.47,20.03
58,0.01,49.31,58.79,41.88,98.61,59.69,0.01,49.49,66.21,49.49,100.00,50.00,0.02,36.67,53.66,36.67,100.00,50.00,12.82,12.55
60,0.01,49.53,58.31,41.43,98.39,60.29,0.01,49.49,66.21,49.49,100.00,50.00,0.01,54.32,70.40,54.32,100.00,50.00,-4.83,-4.18
61,0.01,49.58,58.11,41.32,97.91,60.31,0.01,49.49,66.21,49.49,100.00,50.00,0.02,67.68,80.72,67.68,100.00,50.00,-18.19,-14.51
62,0.01,53.27,60.03,43.70,95.82,62.26,0.01,49.49,66.21,49.49,100.00,50.00,0.02,38.66,55.76,38.66,100.00,50.00,10.83,10.45
63,0.01,45.73,57.34,40.21,99.95,57.26,0.01,49.49,66.21,49.49,100.00,50.00,0.01,42.56,59.71,42.56,100.00,50.00,6.93,6.51
