test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.012437,49.92,58.57,42.01,96.7,59.81,0.014671,49.49,66.21,49.49,100.0,50.0,0.016498,53.7,69.88,53.7,100.0,50.0
34,0.012096,53.49,59.47,43.67,93.18,61.87,0.014649,49.49,66.21,49.49,100.0,50.0,0.022711,56.41,72.13,56.41,100.0,50.0
36,0.012793,47.09,57.92,40.8,99.79,58.3,0.014682,49.49,66.21,49.49,100.0,50.0,0.013406,80.65,89.29,80.65,100.0,50.0
37,0.012345,51.03,58.52,42.45,94.2,60.12,0.014633,49.49,66.21,49.49,100.0,50.0,0.031225,33.33,50.0,33.33,100.0,50.0
38,0.012224,52.0,59.1,42.96,94.67,61.0,0.014672,49.49,66.21,49.49,100.0,50.0,0.020649,40.31,57.46,40.31,100.0,50.0
43,0.011418,59.18,64.09,47.43,98.79,67.42,0.014619,49.49,66.21,49.49,100.0,50.0,0.01046,65.21,66.42,49.72,100.0,73.48
44,0.007868,76.78,69.95,80.38,61.91,75.1,0.012823,49.49,66.21,49.49,100.0,50.0,0.031117,34.82,33.06,19.9,97.6,60.01
46,0.011848,57.05,60.08,45.87,87.04,63.19,0.014479,49.49,66.21,49.49,100.0,50.0,0.014425,34.99,51.84,34.99,100.0,50.0
49,0.013189,45.9,57.18,40.12,99.53,57.44,0.01476,49.49,66.21,49.49,100.0,50.0,0.014701,48.07,64.93,48.07,100.0,50.0
50,0.01196,54.24,60.21,43.82,96.17,63.41,0.014859,49.49,66.21,49.49,100.0,50.0,0.0152,53.52,69.73,53.52,100.0,50.0
51,0.012411,52.3,58.44,42.63,92.89,61.12,0.014824,49.49,66.21,49.49,100.0,50.0,0.014057,53.23,69.48,53.23,100.0,50.0
52,0.012581,48.66,57.93,41.06,98.32,59.55,0.014857,49.49,66.21,49.49,100.0,50.0,0.014594,53.96,70.09,53.96,100.0,50.0
53,0.012774,48.58,57.97,41.19,97.82,59.21,0.014926,49.49,66.21,49.49,100.0,50.0,0.015403,50.11,66.76,50.11,100.0,50.0
54,0.012498,49.12,58.62,41.67,98.83,59.71,0.014751,49.49,66.21,49.49,100.0,50.0,0.014829,43.56,60.69,43.56,100.0,50.0
55,0.012216,51.79,58.85,42.81,94.08,60.71,0.014766,49.49,66.21,49.49,100.0,50.0,0.014337,37.87,54.93,37.87,100.0,50.0
56,0.01228,51.85,58.87,42.98,93.41,60.49,0.014578,49.49,66.21,49.49,100.0,50.0,0.016176,30.02,46.18,30.02,100.0,50.0
58,0.012416,49.31,58.79,41.88,98.61,59.69,0.01462,49.49,66.21,49.49,100.0,50.0,0.015666,36.67,53.66,36.67,100.0,50.0
60,0.0125,49.53,58.31,41.43,98.39,60.29,0.014856,49.49,66.21,49.49,100.0,50.0,0.014748,54.32,70.4,54.32,100.0,50.0
61,0.012704,49.58,58.11,41.32,97.91,60.31,0.014922,49.49,66.21,49.49,100.0,50.0,0.015332,67.68,80.72,67.68,100.0,50.0
62,0.012096,53.27,60.03,43.7,95.82,62.26,0.014687,49.49,66.21,49.49,100.0,50.0,0.016331,38.66,55.76,38.66,100.0,50.0
63,0.012756,45.73,57.34,40.21,99.95,57.26,0.014737,49.49,66.21,49.49,100.0,50.0,0.014764,42.56,59.71,42.56,100.0,50.0
Average,0.012162,52.21,59.45,44.3,94.67,61.35,0.014637,49.49,66.21,49.49,100.0,50.0,0.016982,48.08,62.53,46.63,99.89,51.59
