test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,89.69,91.01,93.71,88.45,89.96,0.00,90.40,91.59,95.61,87.89,90.99,0.01,77.57,67.57,78.12,59.52,74.38,12.83,24.02
34,0.00,90.02,91.20,93.84,88.71,90.28,0.00,91.73,92.67,98.00,87.89,92.63,0.00,88.00,90.62,100.00,82.86,91.43,3.73,2.05
36,0.00,91.46,92.54,94.58,90.59,91.64,0.00,92.53,93.52,96.65,90.58,92.99,0.01,60.71,42.11,100.00,26.67,63.33,31.82,51.41
37,0.00,90.68,91.72,94.79,88.85,91.04,0.00,92.00,92.86,98.98,87.44,93.06,0.01,73.94,75.82,100.00,61.05,80.53,18.06,17.04
38,0.00,90.39,91.54,94.49,88.77,90.72,0.00,94.13,94.86,99.02,91.03,94.86,0.01,66.49,58.11,95.56,41.75,69.65,27.65,36.75
43,0.00,89.49,90.67,93.63,87.90,89.80,0.00,85.87,86.65,98.85,77.13,87.91,0.01,72.97,76.19,100.00,61.54,80.77,12.89,10.46
44,0.00,89.71,90.98,94.17,87.99,90.09,0.00,90.40,91.35,98.45,85.20,91.61,0.01,88.97,88.45,95.69,82.22,89.16,1.43,2.90
45,0.00,89.95,90.93,94.04,88.01,90.28,0.00,94.93,95.59,99.04,92.38,95.53,0.01,61.86,75.68,100.00,60.87,80.43,33.07,19.92
46,0.00,88.23,89.75,93.06,86.66,88.59,0.00,89.07,90.40,94.61,86.55,89.66,0.01,69.58,64.73,63.81,65.69,69.08,19.48,25.66
49,0.00,91.50,92.54,95.54,89.71,91.87,0.00,92.00,93.21,94.06,92.38,91.91,0.01,82.35,82.95,82.02,83.91,82.32,9.65,10.26
50,0.00,90.63,91.74,94.68,88.99,90.97,0.00,93.87,94.90,93.86,95.96,93.38,0.00,88.08,89.16,92.50,86.05,88.41,5.79,5.74
51,0.00,90.08,91.24,94.65,88.08,90.50,0.00,89.87,91.32,93.02,89.69,89.91,0.01,86.25,85.33,82.05,88.89,86.49,3.62,5.99
52,0.00,90.06,91.28,94.13,88.59,90.37,0.00,94.40,95.30,95.09,95.52,94.14,0.00,87.08,86.55,94.87,79.57,87.43,7.32,8.75
53,0.00,88.99,90.21,94.18,86.56,89.50,0.00,92.27,93.39,94.91,91.93,92.35,0.01,77.48,75.25,92.68,63.33,78.73,14.79,18.15
54,0.00,89.50,90.69,94.26,87.39,89.93,0.00,92.00,93.15,94.88,91.48,92.12,0.01,76.58,75.17,90.32,64.37,77.96,15.42,17.98
55,0.00,89.99,91.08,94.17,88.19,90.34,0.00,89.87,91.24,93.84,88.79,90.12,0.01,75.83,78.11,98.91,64.54,81.56,14.04,13.13
56,0.00,92.05,92.95,95.36,90.66,92.30,0.00,93.33,94.25,96.70,91.93,93.66,0.01,79.68,83.19,98.95,71.76,84.99,13.65,11.07
58,0.00,89.84,90.98,94.32,87.86,90.23,0.00,94.40,95.28,95.50,95.07,94.24,0.00,94.04,94.86,100.00,90.22,95.11,0.36,0.42
60,0.00,90.18,91.35,94.79,88.15,90.61,0.00,90.67,91.69,97.47,86.55,91.63,0.01,83.61,78.26,100.00,64.29,82.14,7.06,13.43
61,0.00,88.69,89.99,93.17,87.02,89.03,0.00,85.07,86.14,96.13,78.03,86.71,0.01,59.60,45.95,100.00,29.82,64.91,25.47,40.19
62,0.00,88.84,90.00,93.34,86.90,89.20,0.00,87.73,89.00,95.38,83.41,88.74,0.01,73.10,78.10,95.35,66.13,78.81,14.63,10.90
63,0.00,89.55,90.69,93.73,87.83,89.87,0.00,94.67,95.50,95.93,95.07,94.57,0.00,83.57,86.18,99.07,76.26,87.39,11.09,9.32
