======================================================================
TRANSMODEL - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          77.57          67.57           78.12        59.52         90.40         91.59   24.02
          34          88.00          90.62          100.00        82.86         91.73         92.67    2.05
          36          60.71          42.11          100.00        26.67         92.53         93.52   51.41
          37          73.94          75.82          100.00        61.05         92.00         92.86   17.04
          38          66.49          58.11           95.56        41.75         94.13         94.86   36.75
          43          72.97          76.19          100.00        61.54         85.87         86.65   10.46
          44          88.97          88.45           95.69        82.22         90.40         91.35    2.90
          45          61.86          75.68          100.00        60.87         94.93         95.59   19.92
          46          69.58          64.73           63.81        65.69         89.07         90.40   25.66
          49          82.35          82.95           82.02        83.91         92.00         93.21   10.26
          50          88.08          89.16           92.50        86.05         93.87         94.90    5.74
          51          86.25          85.33           82.05        88.89         89.87         91.32    5.99
          52          87.08          86.55           94.87        79.57         94.40         95.30    8.75
          53          77.48          75.25           92.68        63.33         92.27         93.39   18.15
          54          76.58          75.17           90.32        64.37         92.00         93.15   17.98
          55          75.83          78.11           98.91        64.54         89.87         91.24   13.13
          56          79.68          83.19           98.95        71.76         93.33         94.25   11.07
          58          94.04          94.86          100.00        90.22         94.40         95.28    0.42
          60          83.61          78.26          100.00        64.29         90.67         91.69   13.43
          61          59.60          45.95          100.00        29.82         85.07         86.14   40.19
          62          73.10          78.10           95.35        66.13         87.73         89.00   10.90
          63          83.57          86.18           99.07        76.26         94.67         95.50    9.32
-----------------------------------------------------------------------------------------------------------
AVERAGE            77.61            76.29            93.63            66.88            91.42            92.45            16.16
