test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.002951,89.69,91.01,93.71,88.45,89.96,0.003446,90.4,91.59,95.61,87.89,90.99,0.006212,77.57,67.57,78.12,59.52,74.38
34,0.002901,90.02,91.2,93.84,88.71,90.28,0.002646,91.73,92.67,98.0,87.89,92.63,0.004616,88.0,90.62,100.0,82.86,91.43
36,0.002568,91.46,92.54,94.58,90.59,91.64,0.002375,92.53,93.52,96.65,90.58,92.99,0.014124,60.71,42.11,100.0,26.67,63.33
37,0.002687,90.68,91.72,94.79,88.85,91.04,0.002826,92.0,92.86,98.98,87.44,93.06,0.008546,73.94,75.82,100.0,61.05,80.53
38,0.002871,90.39,91.54,94.49,88.77,90.72,0.002837,94.13,94.86,99.02,91.03,94.86,0.011811,66.49,58.11,95.56,41.75,69.65
43,0.00305,89.49,90.67,93.63,87.9,89.8,0.003891,85.87,86.65,98.85,77.13,87.91,0.012125,72.97,76.19,100.0,61.54,80.77
44,0.003033,89.71,90.98,94.17,87.99,90.09,0.003083,90.4,91.35,98.45,85.2,91.61,0.005453,88.97,88.45,95.69,82.22,89.16
45,0.002985,89.95,90.93,94.04,88.01,90.28,0.001925,94.93,95.59,99.04,92.38,95.53,0.010286,61.86,75.68,100.0,60.87,80.43
46,0.003288,88.23,89.75,93.06,86.66,88.59,0.003507,89.07,90.4,94.61,86.55,89.66,0.006506,69.58,64.73,63.81,65.69,69.08
49,0.002586,91.5,92.54,95.54,89.71,91.87,0.002367,92.0,93.21,94.06,92.38,91.91,0.005387,82.35,82.95,82.02,83.91,82.32
50,0.002708,90.63,91.74,94.68,88.99,90.97,0.002474,93.87,94.9,93.86,95.96,93.38,0.003977,88.08,89.16,92.5,86.05,88.41
51,0.002739,90.08,91.24,94.65,88.08,90.5,0.003002,89.87,91.32,93.02,89.69,89.91,0.009761,86.25,85.33,82.05,88.89,86.49
52,0.002781,90.06,91.28,94.13,88.59,90.37,0.001812,94.4,95.3,95.09,95.52,94.14,0.003471,87.08,86.55,94.87,79.57,87.43
53,0.002912,88.99,90.21,94.18,86.56,89.5,0.00233,92.27,93.39,94.91,91.93,92.35,0.00576,77.48,75.25,92.68,63.33,78.73
54,0.002966,89.5,90.69,94.26,87.39,89.93,0.00272,92.0,93.15,94.88,91.48,92.12,0.008309,76.58,75.17,90.32,64.37,77.96
55,0.002946,89.99,91.08,94.17,88.19,90.34,0.003012,89.87,91.24,93.84,88.79,90.12,0.006484,75.83,78.11,98.91,64.54,81.56
56,0.002533,92.05,92.95,95.36,90.66,92.3,0.003117,93.33,94.25,96.7,91.93,93.66,0.005229,79.68,83.19,98.95,71.76,84.99
58,0.002985,89.84,90.98,94.32,87.86,90.23,0.001821,94.4,95.28,95.5,95.07,94.24,0.001674,94.04,94.86,100.0,90.22,95.11
60,0.002732,90.18,91.35,94.79,88.15,90.61,0.003385,90.67,91.69,97.47,86.55,91.63,0.00633,83.61,78.26,100.0,64.29,82.14
61,0.003115,88.69,89.99,93.17,87.02,89.03,0.00472,85.07,86.14,96.13,78.03,86.71,0.013676,59.6,45.95,100.0,29.82,64.91
62,0.003173,88.84,90.0,93.34,86.9,89.2,0.003677,87.73,89.0,95.38,83.41,88.74,0.005558,73.1,78.1,95.35,66.13,78.81
63,0.003062,89.55,90.69,93.73,87.83,89.87,0.001858,94.67,95.5,95.93,95.07,94.57,0.003851,83.57,86.18,99.07,76.26,87.39
Average,0.00289,89.98,91.14,94.21,88.27,90.32,0.002856,91.42,92.45,96.18,89.18,91.94,0.007234,77.61,76.29,93.63,66.88,80.68
