fold,test_subject,phase,epoch,loss,accuracy,f1_score,precision,recall,auc
1,31,train,1,0.02370919673647271,61.25723303524461,65.03679088535486,69.50786402841197,61.10615521855486,61.290257096456926
1,31,val,1,0.010361871560414631,73.33333333333333,75.0,84.7457627118644,67.2645739910314,74.75070804814729
1,31,train,2,0.011240728046629442,68.85849552866912,72.0226843100189,76.58291457286433,67.9750223015165,69.05161371486082
1,31,val,2,0.006183205127716064,80.26666666666667,81.77339901477832,90.7103825136612,74.43946188340807,81.62762567854614
1,31,train,3,0.007927950575500962,74.22409258285113,76.93032015065914,81.45563310069791,72.88135593220339,74.51760104302477
1,31,val,3,0.005744142452875773,79.46666666666667,82.05128205128204,85.43689320388349,78.9237668161435,79.59346235544017
1,31,train,4,0.006770003855479259,77.3277222514466,79.62174940898345,84.70824949698189,75.11150758251561,77.81216404766806
1,31,val,4,0.00424262269337972,86.4,88.74172185430464,87.39130434782608,90.13452914798206,85.5277908897805
1,31,train,5,0.005966353955737921,78.64281956864808,81.0634328358209,84.94623655913979,77.52007136485281,78.88824081063154
1,31,val,5,0.0034462797045707702,90.4,91.58878504672897,95.60975609756098,87.89237668161435,90.98566202501769
1,31,train,6,0.005369048089431751,80.74697527617045,82.79266572637518,87.52485089463221,78.54594112399643,81.22809876712641
1,31,val,6,0.004366724769274394,86.93333333333332,88.01955990220048,96.7741935483871,80.71748878923766,88.38506018409252
1,31,train,7,0.005169227284265154,81.29931614939505,83.29024676850764,88.02781917536015,79.03657448706512,81.79392826917359
1,31,val,7,0.003996540268262227,87.2,88.83720930232558,92.27053140096618,85.65022421524664,87.56195421288648
1,31,train,8,0.00471570532473058,83.48237769594951,85.32710280373831,89.59764474975465,81.44513826940232,83.92769733982938
1,31,val,8,0.0038752533197402954,87.46666666666667,88.67469879518072,95.83333333333334,82.51121076233184,88.62402643379751
1,31,train,9,0.00411970650425464,84.9026827985271,86.51315789473684,91.41012909632572,82.11418376449599,85.5122200873762
1,31,val,9,0.004579088608423869,87.2,88.51674641148325,94.87179487179486,82.95964125560538,88.19034694359216
1,31,train,10,0.004057957569841709,85.24460810099947,86.80931107453563,91.79512680258578,82.3371989295272,85.88013792630207
1,31,val,10,0.006766989310582479,77.33333333333333,80.81264108352144,81.36363636363636,80.26905829596413,76.6476870427189
1,31,train,11,0.004054072885717736,85.19200420831142,86.89783569932513,90.8515815085158,83.27386262265834,85.61129028568814
1,31,val,11,0.005113258878389994,83.73333333333333,85.44152744630071,91.3265306122449,80.26905829596413,84.54242388482417
1,31,train,12,0.0035968204859305156,87.19095213045766,88.70855552979364,92.37083534524385,85.32560214094559,87.59869850637024
1,31,val,12,0.0047992951075236006,86.66666666666667,87.6847290640394,97.26775956284153,79.82062780269058,88.26557705924002
1,31,train,13,0.003496286584194681,87.71699105733825,89.10660135292746,93.39853300733496,85.19179304192686,88.26897344404036
1,31,val,13,0.006152949810028076,84.53333333333333,85.71428571428571,95.08196721311475,78.02690582959642,86.05292659900873
1,31,train,14,0.0034657754572299452,87.40136770120989,88.91973166782329,92.35944257568477,85.7270294380018,87.76736087284705
1,31,val,14,0.00414439070224762,88.26666666666667,89.2156862745098,98.37837837837839,81.61434977578476,89.82033278262922
1,31,train,15,0.0033782803498087024,87.84850078905839,89.27576601671309,93.0784123910939,85.77163247100803,88.30248290217068
1,31,val,15,0.009717815399169922,84.8,85.42199488491048,99.40476190476191,74.88789237668162,87.11499881991976
1,31,train,16,0.003168786063139718,88.13782219884271,89.58670053105519,92.86740067017712,86.52988403211418,88.48930099041606
1,31,val,16,0.006900501887003581,86.13333333333333,87.25490196078431,96.21621621621622,79.82062780269058,87.60768232239793
1,31,train,17,0.002924725344734779,89.61073119410837,90.9090909090909,93.91345696623871,88.09099018733274,89.94293099110226
1,31,val,17,0.007996174971262614,85.33333333333334,86.2155388471178,97.72727272727273,77.13004484304933,87.24923294784045
1,31,train,18,0.002982445878379913,89.63703314045239,90.95500459136822,93.70860927152319,88.3586083853702,89.91648367986458
1,31,val,18,0.007094575007756551,86.93333333333332,87.78054862842892,98.87640449438202,78.9237668161435,88.80398867122963
