test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,90.50,91.71,94.47,89.12,90.81,0.00,96.27,96.86,96.86,96.86,96.13,0.00,85.98,81.01,86.49,76.19,84.25,10.29,15.85
34,0.00,90.72,91.83,94.37,89.42,90.98,0.00,93.87,94.61,99.02,90.58,94.63,0.01,76.00,79.31,100.00,65.71,82.86,17.87,15.30
36,0.00,90.73,91.86,94.51,89.35,91.02,0.00,94.13,94.93,97.63,92.38,94.54,0.02,58.93,43.90,81.82,30.00,61.15,35.20,51.03
37,0.00,90.81,91.93,93.90,90.04,90.96,0.00,91.73,93.06,92.86,93.27,91.37,0.00,90.14,92.31,96.55,88.42,91.02,1.59,0.76
38,0.00,90.12,91.22,95.08,87.67,90.63,0.00,95.73,96.40,96.83,95.96,95.68,0.02,65.95,61.82,82.26,49.51,68.05,29.79,34.58
43,0.00,91.57,92.56,94.99,90.25,91.83,0.00,96.53,97.12,96.05,98.21,96.14,0.02,82.88,86.71,95.38,79.49,85.20,13.65,10.40
44,0.00,91.74,92.83,95.07,90.69,91.97,0.00,93.60,94.52,96.28,92.83,93.78,0.01,89.73,89.58,93.55,85.93,89.84,3.87,4.95
45,0.00,90.48,91.42,94.36,88.66,90.78,0.00,94.93,95.63,98.11,93.27,95.32,0.03,43.22,58.90,100.00,41.74,70.87,51.71,36.74
46,0.00,90.41,91.70,94.46,89.09,90.71,0.00,93.07,94.12,94.98,93.27,93.02,0.00,90.42,88.08,93.41,83.33,89.49,2.65,6.03
49,0.00,89.84,91.01,94.73,87.57,90.32,0.00,94.40,95.19,97.20,93.27,94.66,0.01,87.06,87.06,89.16,85.06,87.11,7.34,8.14
50,0.00,90.39,91.58,93.97,89.31,90.62,0.00,89.07,90.74,91.36,90.13,88.82,0.00,97.35,97.70,96.59,98.84,97.11,-8.28,-6.96
51,0.00,90.34,91.46,95.01,88.17,90.79,0.00,97.07,97.55,96.90,98.21,96.80,0.01,87.50,86.84,82.50,91.67,87.88,9.57,10.71
52,0.00,89.17,90.53,93.06,88.13,89.39,0.00,90.13,91.13,97.94,85.20,91.29,0.01,81.46,79.25,95.45,67.74,82.11,8.67,11.88
53,0.00,90.68,91.78,94.91,88.85,91.06,0.00,93.87,94.74,96.73,92.83,94.11,0.00,93.69,94.31,92.06,96.67,93.43,0.17,0.43
54,0.00,90.35,91.54,94.05,89.17,90.59,0.00,92.80,93.88,94.95,92.83,92.79,0.01,72.78,69.93,89.29,57.47,74.51,20.02,23.95
55,0.00,89.24,90.42,93.39,87.63,89.54,0.00,93.60,94.34,99.50,89.69,94.51,0.01,74.41,76.52,98.88,62.41,80.49,19.19,17.82
56,0.00,91.19,92.16,94.88,89.60,91.48,0.00,95.20,95.98,95.56,96.41,94.92,0.00,88.24,90.98,98.23,84.73,90.58,6.96,5.00
58,0.00,90.23,91.35,94.45,88.46,90.59,0.00,96.53,97.09,96.88,97.31,96.35,0.00,98.01,98.38,97.85,98.91,97.76,-1.48,-1.29
60,0.00,91.87,92.90,95.45,90.48,92.16,0.00,94.40,95.19,97.20,93.27,94.66,0.00,80.33,76.92,83.33,71.43,79.65,14.07,18.27
61,0.00,90.08,91.21,94.64,88.01,90.50,0.00,96.53,97.07,97.73,96.41,96.56,0.01,79.80,78.72,100.00,64.91,82.46,16.74,18.34
62,0.00,90.53,91.56,94.44,88.84,90.84,0.00,95.47,96.20,95.98,96.41,95.25,0.00,77.78,82.08,98.86,70.16,84.02,17.69,14.12
63,0.00,90.82,91.82,94.88,88.95,91.17,0.00,94.13,95.05,95.48,94.62,94.02,0.00,85.02,87.84,96.55,80.58,87.35,9.11,7.20
