======================================================================
TRANSMODEL - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          85.98          81.01           86.49        76.19         96.27         96.86   15.85
          34          76.00          79.31          100.00        65.71         93.87         94.61   15.30
          36          58.93          43.90           81.82        30.00         94.13         94.93   51.03
          37          90.14          92.31           96.55        88.42         91.73         93.06    0.76
          38          65.95          61.82           82.26        49.51         95.73         96.40   34.58
          43          82.88          86.71           95.38        79.49         96.53         97.12   10.40
          44          89.73          89.58           93.55        85.93         93.60         94.52    4.95
          45          43.22          58.90          100.00        41.74         94.93         95.63   36.74
          46          90.42          88.08           93.41        83.33         93.07         94.12    6.03
          49          87.06          87.06           89.16        85.06         94.40         95.19    8.14
          50          97.35          97.70           96.59        98.84         89.07         90.74   -6.96
          51          87.50          86.84           82.50        91.67         97.07         97.55   10.71
          52          81.46          79.25           95.45        67.74         90.13         91.13   11.88
          53          93.69          94.31           92.06        96.67         93.87         94.74    0.43
          54          72.78          69.93           89.29        57.47         92.80         93.88   23.95
          55          74.41          76.52           98.88        62.41         93.60         94.34   17.82
          56          88.24          90.98           98.23        84.73         95.20         95.98    5.00
          58          98.01          98.38           97.85        98.91         96.53         97.09   -1.29
          60          80.33          76.92           83.33        71.43         94.40         95.19   18.27
          61          79.80          78.72          100.00        64.91         96.53         97.07   18.34
          62          77.78          82.08           98.86        70.16         95.47         96.20   14.12
          63          85.02          87.84           96.55        80.58         94.13         95.05    7.20
-----------------------------------------------------------------------------------------------------------
AVERAGE            81.21            81.28            93.10            74.13            94.23            95.06            13.78
