fold,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,total_trials_attempted,valid_trials_processed,skip_rate,skipped_missing,skipped_mismatch,skipped_short,skipped_dtw,skipped_preprocessing,motion_enabled,motion_total,motion_passed,motion_rejected,motion_rejection_rate
1,0.002795,90.5,91.71,94.47,89.12,90.81,0.001494,96.27,96.86,96.86,96.86,96.13,0.004209,85.98,81.01,86.49,76.19,84.25,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
2,0.002873,90.72,91.83,94.37,89.42,90.98,0.002183,93.87,94.61,99.02,90.58,94.63,0.01011,76.0,79.31,100.0,65.71,82.86,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
3,0.002803,90.73,91.86,94.51,89.35,91.02,0.001854,94.13,94.93,97.63,92.38,94.54,0.015229,58.93,43.9,81.82,30.0,61.15,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
4,0.00272,90.81,91.93,93.9,90.04,90.96,0.002512,91.73,93.06,92.86,93.27,91.37,0.004692,90.14,92.31,96.55,88.42,91.02,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
5,0.002934,90.12,91.22,95.08,87.67,90.63,0.001713,95.73,96.4,96.83,95.96,95.68,0.01511,65.95,61.82,82.26,49.51,68.05,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
6,0.002464,91.57,92.56,94.99,90.25,91.83,0.002777,96.53,97.12,96.05,98.21,96.14,0.015711,82.88,86.71,95.38,79.49,85.2,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
7,0.002437,91.74,92.83,95.07,90.69,91.97,0.001883,93.6,94.52,96.28,92.83,93.78,0.008435,89.73,89.58,93.55,85.93,89.84,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
8,0.002924,90.48,91.42,94.36,88.66,90.78,0.001883,94.93,95.63,98.11,93.27,95.32,0.029695,43.22,58.9,100.0,41.74,70.87,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
9,0.002828,90.41,91.7,94.46,89.09,90.71,0.002801,93.07,94.12,94.98,93.27,93.02,0.003923,90.42,88.08,93.41,83.33,89.49,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
10,0.002927,89.84,91.01,94.73,87.57,90.32,0.002282,94.4,95.19,97.2,93.27,94.66,0.005226,87.06,87.06,89.16,85.06,87.11,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
11,0.002864,90.39,91.58,93.97,89.31,90.62,0.002982,89.07,90.74,91.36,90.13,88.82,0.001071,97.35,97.7,96.59,98.84,97.11,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
12,0.002703,90.34,91.46,95.01,88.17,90.79,0.001211,97.07,97.55,96.9,98.21,96.8,0.009372,87.5,86.84,82.5,91.67,87.88,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
13,0.003089,89.17,90.53,93.06,88.13,89.39,0.002962,90.13,91.13,97.94,85.2,91.29,0.005004,81.46,79.25,95.45,67.74,82.11,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
14,0.002702,90.68,91.78,94.91,88.85,91.06,0.00196,93.87,94.74,96.73,92.83,94.11,0.002918,93.69,94.31,92.06,96.67,93.43,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
15,0.002809,90.35,91.54,94.05,89.17,90.59,0.002474,92.8,93.88,94.95,92.83,92.79,0.011413,72.78,69.93,89.29,57.47,74.51,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
16,0.002989,89.24,90.42,93.39,87.63,89.54,0.001883,93.6,94.34,99.5,89.69,94.51,0.008831,74.41,76.52,98.88,62.41,80.49,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
17,0.002702,91.19,92.16,94.88,89.6,91.48,0.002256,95.2,95.98,95.56,96.41,94.92,0.002305,88.24,90.98,98.23,84.73,90.58,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
18,0.002859,90.23,91.35,94.45,88.46,90.59,0.001409,96.53,97.09,96.88,97.31,96.35,0.000981,98.01,98.38,97.85,98.91,97.76,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
19,0.002343,91.87,92.9,95.45,90.48,92.16,0.001833,94.4,95.19,97.2,93.27,94.66,0.004917,80.33,76.92,83.33,71.43,79.65,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
20,0.002673,90.08,91.21,94.64,88.01,90.5,0.001715,96.53,97.07,97.73,96.41,96.56,0.00758,79.8,78.72,100.0,64.91,82.46,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
21,0.002765,90.53,91.56,94.44,88.84,90.84,0.002049,95.47,96.2,95.98,96.41,95.25,0.004346,77.78,82.08,98.86,70.16,84.02,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
22,0.002845,90.82,91.82,94.88,88.95,91.17,0.002403,94.13,95.05,95.48,94.62,94.02,0.003139,85.02,87.84,96.55,80.58,87.35,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
,0.002775,90.54,91.65,94.5,88.98,90.85,0.002115,94.23,95.06,96.46,93.78,94.33,0.007919,81.21,81.28,93.1,74.13,83.96,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,,,,,
