fold,test_subject,phase,epoch,loss,accuracy,f1_score,precision,recall,auc
1,31,train,1,0.020120771604735622,63.17727511835876,66.84036001894836,71.26262626262626,62.93487957181089,63.23026029872596
1,31,val,1,0.008176504214604696,77.60000000000001,80.9090909090909,82.02764976958525,79.82062780269058,77.08136653292425
1,31,train,2,0.00937737311299759,70.85744345081537,73.91713747645953,78.26520438683949,70.02676181980375,71.0390219355429
1,31,val,2,0.0047586184740066526,83.46666666666667,85.64814814814815,88.51674641148325,82.95964125560538,83.58508378569742
1,31,train,3,0.0063118979507280236,77.5907417148869,79.7335870599429,85.4230377166157,74.75468331846565,78.21067499256617
1,31,val,3,0.003874217788378398,87.73333333333333,88.61386138613861,98.89502762430939,80.26905829596413,89.47663441113994
1,31,train,4,0.005478320718752216,80.66806943713834,82.42047357091606,88.8602372356885,76.85102586975916,81.50243601180264
1,31,val,4,0.0038712761004765827,88.53333333333333,90.79229122055675,86.88524590163934,95.06726457399103,87.00731649752184
1,31,train,5,0.005167643077620577,81.77275118358759,83.81975250992295,87.94708476237139,80.06244424620874,82.14660673848898
1,31,val,5,0.002448422352472941,91.73333333333333,92.87356321839081,95.28301886792453,90.5829596412556,92.00200613641728
1,31,train,6,0.004555925432943407,83.7453971593898,85.36931818181817,90.96871846619577,80.4192685102587,84.47245476794987
1,31,val,6,0.0024918774366378786,91.73333333333333,93.0022573363431,93.63636363636364,92.37668161434978,91.58307764928016
1,31,train,7,0.004277422397090284,84.66596528143083,86.25324215986795,91.49574787393698,81.57894736842105,85.34075573549258
1,31,val,7,0.002272220720847448,92.53333333333333,93.63636363636363,94.93087557603687,92.37668161434978,92.5699197545433
1,31,train,8,0.004083071411565252,85.1657022619674,86.79156908665107,91.37080867850098,82.64942016057091,85.7157357213111
1,31,val,8,0.0024306075771649677,93.33333333333333,94.25287356321839,96.69811320754717,91.92825112107623,93.66149398159075
1,31,train,9,0.003781521117715444,86.13887427669647,87.68403832671186,92.09621993127148,83.67528991971454,86.67738854960086
1,31,val,9,0.0022554874221483866,94.39999999999999,95.36423841059603,93.91304347826087,96.8609865470852,93.82523011564787
1,31,train,10,0.003489959996775663,87.7695949500263,89.19860627177701,93.06834706737762,85.6378233719893,88.23557835266132
1,31,val,10,0.0014936940272649128,96.26666666666667,96.8609865470852,96.8609865470852,96.8609865470852,96.12786169459524
1,31,train,11,0.0037223073423128263,86.98053655970543,88.49639786195678,92.38233867054828,84.92417484388939,87.43003613989342
1,31,val,11,0.0017739354968070984,94.93333333333334,95.78713968957871,94.73684210526315,96.8609865470852,94.48312485248998
1,31,train,12,0.0033142215629617267,88.63755917937928,90.0230946882217,93.34291187739464,86.93131132917038,89.01052745945698
1,31,val,12,0.0018614507019519807,93.33333333333333,94.33106575963718,95.41284403669725,93.27354260089686,93.34729761623791
1,31,train,13,0.0033514419318750495,88.76906891109942,90.15902281631712,93.27610872675251,87.24353256021409,89.10253551087628
1,31,val,13,0.002411686360836029,94.93333333333334,95.74944071588367,95.53571428571429,95.96412556053812,94.69258909605854
1,31,train,14,0.0031764936672111113,88.37453971593898,89.81097279852466,92.93893129770993,86.88670829616414,88.69976440449233
1,31,val,14,0.002537694056828817,93.60000000000001,94.57013574660634,95.4337899543379,93.72197309417041,93.57151286287467
1,31,train,15,0.003094450037128859,89.03208837453973,90.36729036729037,93.72304743651173,87.24353256021409,89.4230483313891
1,31,val,15,0.0021133169333140056,93.86666666666666,94.87750556792874,94.24778761061947,95.51569506726457,93.4815317441586
