test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,92.85,93.80,95.99,91.70,93.10,0.00,90.40,91.47,96.98,86.55,91.30,0.01,79.44,75.00,71.74,78.57,79.29,10.96,16.47
34,0.00,91.11,92.21,94.20,90.31,91.27,0.00,96.27,96.83,97.72,95.96,96.34,0.00,98.00,98.55,100.00,97.14,98.57,-1.73,-1.72
36,0.00,93.43,94.32,95.54,93.12,93.50,0.00,95.20,95.91,97.24,94.62,95.34,0.01,58.93,51.06,70.59,40.00,60.38,36.27,44.85
37,0.00,93.63,94.44,95.73,93.19,93.71,0.00,94.67,95.61,93.56,97.76,93.94,0.00,90.85,92.66,100.00,86.32,93.16,3.82,2.96
38,0.00,93.18,94.10,95.34,92.89,93.24,0.00,97.33,97.78,96.92,98.65,97.02,0.01,78.92,79.37,87.21,72.82,79.70,18.41,18.41
43,0.00,92.13,93.10,94.87,91.39,92.27,0.00,94.13,95.02,95.89,94.17,94.12,0.01,87.39,90.14,100.00,82.05,91.03,6.75,4.88
44,0.00,93.09,94.03,95.75,92.37,93.25,0.00,94.40,95.22,96.76,93.72,94.56,0.00,91.63,91.41,96.69,86.67,91.77,2.77,3.81
45,0.00,93.25,94.03,95.10,92.99,93.29,0.00,96.27,96.86,96.86,96.86,96.13,0.00,100.00,100.00,100.00,100.00,100.00,-3.73,-3.14
46,0.00,93.24,94.23,95.66,92.85,93.33,0.00,97.33,97.79,96.51,99.10,96.92,0.00,92.92,90.91,100.00,83.33,91.67,4.42,6.88
49,0.00,93.63,94.50,95.96,93.08,93.75,0.00,94.93,95.73,95.95,95.52,94.80,0.01,84.71,85.23,84.27,86.21,84.67,10.23,10.50
50,0.00,92.71,93.65,95.38,91.99,92.86,0.00,96.53,97.05,98.17,95.96,96.67,0.00,93.38,93.83,100.00,88.37,94.19,3.16,3.22
51,0.00,93.21,94.12,95.72,92.57,93.34,0.00,96.00,96.63,96.85,96.41,95.90,0.01,82.50,78.12,89.29,69.44,81.31,13.50,18.50
52,0.00,91.96,93.07,94.16,92.01,91.95,0.00,93.07,93.90,98.52,89.69,93.86,0.00,88.76,88.51,95.06,82.80,89.04,4.30,5.39
53,0.00,93.36,94.22,96.12,92.40,93.56,0.00,96.27,96.83,97.72,95.96,96.34,0.00,90.99,91.94,89.06,95.00,90.64,5.28,4.90
54,0.00,94.45,95.21,96.32,94.13,94.52,0.00,98.13,98.42,99.09,97.76,98.22,0.01,88.61,89.02,94.81,83.91,89.14,9.53,9.40
55,0.00,94.38,95.09,96.18,94.03,94.44,0.00,94.93,95.75,95.54,95.96,94.69,0.01,81.52,84.82,93.97,77.30,83.65,13.42,10.92
56,0.00,92.69,93.59,95.02,92.20,92.78,0.00,95.47,96.23,95.18,97.31,95.04,0.00,90.91,93.06,100.00,87.02,93.51,4.56,3.17
58,0.00,93.13,94.03,95.40,92.70,93.22,0.00,96.53,97.01,99.53,94.62,96.98,0.00,93.38,94.32,98.81,90.22,94.26,3.16,2.69
60,0.00,91.89,92.97,94.90,91.11,92.06,0.00,94.93,95.67,97.22,94.17,95.11,0.01,86.07,83.50,91.49,76.79,85.36,8.87,12.18
61,0.00,93.15,94.08,95.05,93.13,93.15,0.00,97.07,97.51,98.62,96.41,97.22,0.01,87.88,89.09,92.45,85.96,88.22,9.19,8.41
62,0.00,92.40,93.28,95.36,91.30,92.61,0.00,93.87,94.64,98.54,91.03,94.53,0.01,69.01,72.82,100.00,57.26,78.63,24.86,21.82
63,0.00,93.33,94.16,95.58,92.77,93.43,0.00,96.00,96.55,99.06,94.17,96.43,0.00,84.06,86.85,97.32,78.42,87.00,11.94,9.70
