======================================================================
TRANSMODELSE - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          79.44          75.00           71.74        78.57         90.40         91.47   16.47
          34          98.00          98.55          100.00        97.14         96.27         96.83   -1.72
          36          58.93          51.06           70.59        40.00         95.20         95.91   44.85
          37          90.85          92.66          100.00        86.32         94.67         95.61    2.96
          38          78.92          79.37           87.21        72.82         97.33         97.78   18.41
          43          87.39          90.14          100.00        82.05         94.13         95.02    4.88
          44          91.63          91.41           96.69        86.67         94.40         95.22    3.81
          45         100.00         100.00          100.00       100.00         96.27         96.86   -3.14
          46          92.92          90.91          100.00        83.33         97.33         97.79    6.88
          49          84.71          85.23           84.27        86.21         94.93         95.73   10.50
          50          93.38          93.83          100.00        88.37         96.53         97.05    3.22
          51          82.50          78.12           89.29        69.44         96.00         96.63   18.50
          52          88.76          88.51           95.06        82.80         93.07         93.90    5.39
          53          90.99          91.94           89.06        95.00         96.27         96.83    4.90
          54          88.61          89.02           94.81        83.91         98.13         98.42    9.40
          55          81.52          84.82           93.97        77.30         94.93         95.75   10.92
          56          90.91          93.06          100.00        87.02         95.47         96.23    3.17
          58          93.38          94.32           98.81        90.22         96.53         97.01    2.69
          60          86.07          83.50           91.49        76.79         94.93         95.67   12.18
          61          87.88          89.09           92.45        85.96         97.07         97.51    8.41
          62          69.01          72.82          100.00        57.26         93.87         94.64   21.82
          63          84.06          86.85           97.32        78.42         96.00         96.55    9.70
-----------------------------------------------------------------------------------------------------------
AVERAGE            86.36            86.37            93.31            81.16            95.44            96.11             9.74
