test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.00216,92.85,93.8,95.99,91.7,93.1,0.003243,90.4,91.47,96.98,86.55,91.3,0.00852,79.44,75.0,71.74,78.57,79.29
34,0.002586,91.11,92.21,94.2,90.31,91.27,0.001389,96.27,96.83,97.72,95.96,96.34,0.000939,98.0,98.55,100.0,97.14,98.57
36,0.002022,93.43,94.32,95.54,93.12,93.5,0.001623,95.2,95.91,97.24,94.62,95.34,0.013965,58.93,51.06,70.59,40.0,60.38
37,0.002006,93.63,94.44,95.73,93.19,93.71,0.001738,94.67,95.61,93.56,97.76,93.94,0.002881,90.85,92.66,100.0,86.32,93.16
38,0.001897,93.18,94.1,95.34,92.89,93.24,0.001113,97.33,97.78,96.92,98.65,97.02,0.010387,78.92,79.37,87.21,72.82,79.7
43,0.002499,92.13,93.1,94.87,91.39,92.27,0.001797,94.13,95.02,95.89,94.17,94.12,0.005412,87.39,90.14,100.0,82.05,91.03
44,0.002062,93.09,94.03,95.75,92.37,93.25,0.001584,94.4,95.22,96.76,93.72,94.56,0.003908,91.63,91.41,96.69,86.67,91.77
45,0.002162,93.25,94.03,95.1,92.99,93.29,0.001663,96.27,96.86,96.86,96.86,96.13,0.002429,100.0,100.0,100.0,100.0,100.0
46,0.002037,93.24,94.23,95.66,92.85,93.33,0.001035,97.33,97.79,96.51,99.1,96.92,0.002818,92.92,90.91,100.0,83.33,91.67
49,0.001804,93.63,94.5,95.96,93.08,93.75,0.001823,94.93,95.73,95.95,95.52,94.8,0.007456,84.71,85.23,84.27,86.21,84.67
50,0.002157,92.71,93.65,95.38,91.99,92.86,0.001163,96.53,97.05,98.17,95.96,96.67,0.002052,93.38,93.83,100.0,88.37,94.19
51,0.002097,93.21,94.12,95.72,92.57,93.34,0.002054,96.0,96.63,96.85,96.41,95.9,0.009704,82.5,78.12,89.29,69.44,81.31
52,0.00237,91.96,93.07,94.16,92.01,91.95,0.002431,93.07,93.9,98.52,89.69,93.86,0.003929,88.76,88.51,95.06,82.8,89.04
53,0.002012,93.36,94.22,96.12,92.4,93.56,0.00142,96.27,96.83,97.72,95.96,96.34,0.003377,90.99,91.94,89.06,95.0,90.64
54,0.001776,94.45,95.21,96.32,94.13,94.52,0.001048,98.13,98.42,99.09,97.76,98.22,0.005066,88.61,89.02,94.81,83.91,89.14
55,0.001802,94.38,95.09,96.18,94.03,94.44,0.001981,94.93,95.75,95.54,95.96,94.69,0.00688,81.52,84.82,93.97,77.3,83.65
56,0.002265,92.69,93.59,95.02,92.2,92.78,0.001855,95.47,96.23,95.18,97.31,95.04,0.002161,90.91,93.06,100.0,87.02,93.51
58,0.002068,93.13,94.03,95.4,92.7,93.22,0.001581,96.53,97.01,99.53,94.62,96.98,0.001215,93.38,94.32,98.81,90.22,94.26
60,0.002358,91.89,92.97,94.9,91.11,92.06,0.001878,94.93,95.67,97.22,94.17,95.11,0.00727,86.07,83.5,91.49,76.79,85.36
61,0.002055,93.15,94.08,95.05,93.13,93.15,0.001437,97.07,97.51,98.62,96.41,97.22,0.00743,87.88,89.09,92.45,85.96,88.22
62,0.002226,92.4,93.28,95.36,91.3,92.61,0.00221,93.87,94.64,98.54,91.03,94.53,0.009616,69.01,72.82,100.0,57.26,78.63
63,0.002054,93.33,94.16,95.58,92.77,93.43,0.001374,96.0,96.55,99.06,94.17,96.43,0.003488,84.06,86.85,97.32,78.42,87.0
Average,0.002113,93.01,93.92,95.42,92.46,93.12,0.001702,95.44,96.11,97.2,95.11,95.52,0.005496,86.36,86.37,93.31,81.16,87.51
