test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
31,0.00,93.37,94.29,95.77,92.86,93.48,0.00,96.53,97.09,96.88,97.31,96.35,0.01,80.37,77.89,69.81,88.10,81.74,16.16,19.20
34,0.00,92.10,93.09,94.83,91.42,92.23,0.00,97.33,97.79,96.51,99.10,96.92,0.00,96.00,97.22,94.59,100.00,93.33,1.33,0.57
36,0.00,93.30,94.16,96.16,92.24,93.52,0.00,96.00,96.66,96.02,97.31,95.69,0.01,58.93,54.90,66.67,46.67,59.87,37.07,41.76
37,0.00,91.85,92.80,95.37,90.36,92.14,0.00,96.80,97.32,96.89,97.76,96.58,0.00,90.85,92.66,100.00,86.32,93.16,5.95,4.67
38,0.00,93.10,94.01,95.68,92.39,93.25,0.00,97.07,97.53,97.75,97.31,97.01,0.01,66.49,61.25,85.96,47.57,68.91,30.58,36.28
43,0.00,93.13,94.00,95.34,92.70,93.21,0.00,96.80,97.32,96.89,97.76,96.58,0.00,91.89,94.04,97.26,91.03,92.48,4.91,3.28
44,0.00,93.09,94.04,95.58,92.55,93.20,0.00,94.40,95.28,95.50,95.07,94.24,0.00,87.83,87.30,94.02,81.48,88.01,6.57,7.98
45,0.00,93.85,94.55,95.92,93.22,93.96,0.00,98.13,98.44,97.79,99.10,97.91,0.00,81.36,89.42,100.00,80.87,90.43,16.78,9.02
46,0.00,93.19,94.19,95.61,92.80,93.28,0.00,97.07,97.53,97.75,97.31,97.01,0.01,81.67,76.09,85.37,68.63,79.97,15.40,21.44
49,0.00,93.02,93.93,96.01,91.94,93.25,0.00,97.60,97.96,99.08,96.86,97.77,0.00,88.82,88.89,90.48,87.36,88.86,8.78,9.07
50,0.00,92.90,93.79,95.95,91.72,93.14,0.00,97.33,97.74,98.63,96.86,97.44,0.00,98.01,98.29,96.63,100.00,97.69,-0.68,-0.55
51,0.00,93.44,94.34,95.74,92.97,93.54,0.00,96.00,96.69,95.22,98.21,95.48,0.02,78.75,75.36,78.79,72.22,78.16,17.25,21.33
52,0.00,92.58,93.52,95.88,91.28,92.85,0.00,95.73,96.44,95.59,97.31,95.37,0.00,88.76,88.24,97.40,80.65,89.15,6.97,8.21
53,0.00,92.84,93.78,95.44,92.18,92.98,0.00,98.13,98.42,99.09,97.76,98.22,0.00,90.09,91.20,87.69,95.00,89.66,8.04,7.22
54,0.00,92.78,93.70,95.68,91.81,92.98,0.00,95.20,95.93,96.80,95.07,95.23,0.01,77.85,77.42,88.24,68.97,78.85,17.35,18.51
55,0.00,92.56,93.45,95.38,91.60,92.75,0.00,96.53,97.09,96.88,97.31,96.35,0.01,86.26,88.54,100.00,79.43,89.72,10.28,8.55
56,0.00,92.67,93.53,95.50,91.64,92.86,0.00,96.53,97.09,96.88,97.31,96.35,0.00,92.51,94.35,100.00,89.31,94.66,4.02,2.74
58,0.00,92.12,93.11,95.10,91.20,92.31,0.00,97.33,97.74,98.63,96.86,97.44,0.00,99.34,99.45,100.00,98.91,99.46,-2.00,-1.72
60,0.00,91.79,92.87,94.89,90.93,91.97,0.00,93.33,94.38,94.59,94.17,93.14,0.00,86.07,83.50,91.49,76.79,85.36,7.27,10.89
61,0.00,93.67,94.52,95.72,93.35,93.74,0.00,95.47,96.23,95.18,97.31,95.04,0.01,89.90,90.74,96.08,85.96,90.60,5.57,5.49
62,0.00,91.52,92.51,94.45,90.65,91.68,0.00,96.00,96.69,95.22,98.21,95.48,0.01,76.02,80.19,100.00,66.94,83.47,19.98,16.50
63,0.00,93.76,94.54,95.83,93.29,93.85,0.00,96.80,97.32,96.89,97.76,96.58,0.00,93.24,94.96,94.96,94.96,92.33,3.56,2.36
