======================================================================
TRANSMODELSE - Per-Fold Results
======================================================================

test_subject  test_accuracy  test_f1_score  test_precision  test_recall  val_accuracy  val_f1_score  gap_f1
          31          80.37          77.89           69.81        88.10         96.53         97.09   19.20
          34          96.00          97.22           94.59       100.00         97.33         97.79    0.57
          36          58.93          54.90           66.67        46.67         96.00         96.66   41.76
          37          90.85          92.66          100.00        86.32         96.80         97.32    4.67
          38          66.49          61.25           85.96        47.57         97.07         97.53   36.28
          43          91.89          94.04           97.26        91.03         96.80         97.32    3.28
          44          87.83          87.30           94.02        81.48         94.40         95.28    7.98
          45          81.36          89.42          100.00        80.87         98.13         98.44    9.02
          46          81.67          76.09           85.37        68.63         97.07         97.53   21.44
          49          88.82          88.89           90.48        87.36         97.60         97.96    9.07
          50          98.01          98.29           96.63       100.00         97.33         97.74   -0.55
          51          78.75          75.36           78.79        72.22         96.00         96.69   21.33
          52          88.76          88.24           97.40        80.65         95.73         96.44    8.21
          53          90.09          91.20           87.69        95.00         98.13         98.42    7.22
          54          77.85          77.42           88.24        68.97         95.20         95.93   18.51
          55          86.26          88.54          100.00        79.43         96.53         97.09    8.55
          56          92.51          94.35          100.00        89.31         96.53         97.09    2.74
          58          99.34          99.45          100.00        98.91         97.33         97.74   -1.72
          60          86.07          83.50           91.49        76.79         93.33         94.38   10.89
          61          89.90          90.74           96.08        85.96         95.47         96.23    5.49
          62          76.02          80.19          100.00        66.94         96.00         96.69   16.50
          63          93.24          94.96           94.96        94.96         96.80         97.32    2.36
-----------------------------------------------------------------------------------------------------------
AVERAGE            85.50            85.54            91.61            81.23            96.46            97.03            11.49
