fold,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,total_trials_attempted,valid_trials_processed,skip_rate,skipped_missing,skipped_mismatch,skipped_short,skipped_dtw,skipped_preprocessing,motion_enabled,motion_total,motion_passed,motion_rejected,motion_rejection_rate
1,0.002023,93.37,94.29,95.77,92.86,93.48,0.001658,96.53,97.09,96.88,97.31,96.35,0.007706,80.37,77.89,69.81,88.1,81.74,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
2,0.002366,92.1,93.09,94.83,91.42,92.23,0.00166,97.33,97.79,96.51,99.1,96.92,0.00164,96.0,97.22,94.59,100.0,93.33,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
3,0.002245,93.3,94.16,96.16,92.24,93.52,0.001611,96.0,96.66,96.02,97.31,95.69,0.013181,58.93,54.9,66.67,46.67,59.87,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
4,0.002387,91.85,92.8,95.37,90.36,92.14,0.001591,96.8,97.32,96.89,97.76,96.58,0.003767,90.85,92.66,100.0,86.32,93.16,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
5,0.002176,93.1,94.01,95.68,92.39,93.25,0.0014,97.07,97.53,97.75,97.31,97.01,0.012353,66.49,61.25,85.96,47.57,68.91,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
6,0.002179,93.13,94.0,95.34,92.7,93.21,0.001469,96.8,97.32,96.89,97.76,96.58,0.003571,91.89,94.04,97.26,91.03,92.48,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
7,0.002087,93.09,94.04,95.58,92.55,93.2,0.001915,94.4,95.28,95.5,95.07,94.24,0.004537,87.83,87.3,94.02,81.48,88.01,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
8,0.001875,93.85,94.55,95.92,93.22,93.96,0.000774,98.13,98.44,97.79,99.1,97.91,0.004706,81.36,89.42,100.0,80.87,90.43,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
9,0.002064,93.19,94.19,95.61,92.8,93.28,0.001351,97.07,97.53,97.75,97.31,97.01,0.008034,81.67,76.09,85.37,68.63,79.97,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
10,0.002165,93.02,93.93,96.01,91.94,93.25,0.00117,97.6,97.96,99.08,96.86,97.77,0.004261,88.82,88.89,90.48,87.36,88.86,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
11,0.002212,92.9,93.79,95.95,91.72,93.14,0.001194,97.33,97.74,98.63,96.86,97.44,0.000866,98.01,98.29,96.63,100.0,97.69,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
12,0.001884,93.44,94.34,95.74,92.97,93.54,0.001612,96.0,96.69,95.22,98.21,95.48,0.022393,78.75,75.36,78.79,72.22,78.16,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
13,0.002239,92.58,93.52,95.88,91.28,92.85,0.001995,95.73,96.44,95.59,97.31,95.37,0.004793,88.76,88.24,97.4,80.65,89.15,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
14,0.002221,92.84,93.78,95.44,92.18,92.98,0.000728,98.13,98.42,99.09,97.76,98.22,0.003892,90.09,91.2,87.69,95.0,89.66,1556.0,1140.0,26.74,0.0,0.0,247.0,0.0,0.0,False,,,,
