subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,accuracy,f1,precision,recall,auc,experiment
31,0.0003,92.44,95.11,92.14,98.28,86.68,0.000316,91.17,94.48,90.68,98.62,82.64,0.001872,0.75,0.7879,0.65,1.0,0.7667,single_stream
34,0.00023,94.47,96.37,93.95,98.9,90.35,0.000761,85.87,90.91,89.69,92.17,78.66,0.001427,0.8332999999999999,0.8966,0.9286,0.8667,0.7667,single_stream
36,0.000239,94.0,96.05,93.88,98.33,89.9,0.0008,79.15,87.42,81.35,94.47,61.63,0.003307,0.65,0.7742,0.7059000000000001,0.8571,0.5119,single_stream
37,0.000204,94.71,96.51,94.21,98.92,90.88,0.000809,84.81,90.16,89.55,90.78,77.97,0.000716,0.8879,0.9368000000000001,0.8812000000000001,1.0,0.6667000000000001,single_stream
38,0.000388,91.12,94.25,90.95,97.8,84.76,0.000653,86.57,91.74,86.83,97.24,74.38,0.00123,0.7398,0.8161,0.8161,0.8161,0.6858,single_stream
43,0.000187,96.01,97.36,95.68,99.09,93.14,0.000543,92.23,94.98,94.12,95.85,88.08,0.001175,0.8989,0.9323,0.9688,0.8986,0.8993000000000001,single_stream
44,0.000248,93.44,95.77,92.94,98.79,88.02,0.000683,82.33,88.84,86.15,91.71,71.61,0.001252,0.7277,0.8129000000000001,0.72,0.9333,0.6526000000000001,single_stream
45,0.000252,93.38,95.63,92.51,98.96,88.58,0.000906,86.93,91.33,92.86,89.86,83.57,4.6e-05,1.0,1.0,1.0,1.0,1.0,single_stream
46,0.000335,92.0,94.9,92.01,97.97,85.6,0.000388,93.99,96.15,94.64,97.7,89.76,0.001197,0.9245,0.9277,0.8652,1.0,0.9268000000000001,single_stream
49,0.00026,93.58,95.78,93.44,98.24,89.23,0.00061,90.11,93.61,92.76,94.47,85.11,0.003807,0.76,0.8442000000000001,0.8332999999999999,0.8553000000000001,0.6568,single_stream
50,0.000257,93.49,95.75,93.13,98.51,88.69,0.000622,88.34,92.48,91.44,93.55,82.38,0.000179,0.9556,0.9688,0.9394,1.0,0.9286,single_stream
51,0.000247,94.11,96.13,93.78,98.59,89.91,0.000474,92.23,95.0,93.72,96.31,87.55,0.002559,0.75,0.8197,0.9259000000000001,0.7353000000000001,0.7676000000000001,single_stream
52,0.00025,93.98,96.08,93.39,98.93,89.17,0.000762,77.74,86.62,80.31,94.01,59.13,0.001349,0.7739,0.8523000000000001,0.7426,1.0,0.675,single_stream
53,0.000224,93.94,96.01,93.87,98.25,89.9,0.000504,93.29,95.63,95.41,95.85,90.35,0.001205,0.875,0.9153,0.9309999999999999,0.9,0.85,single_stream
54,0.000285,92.81,95.3,92.68,98.06,87.82,0.000974,77.74,86.74,79.84,94.93,58.07,0.000742,0.8017,0.8776,0.789,0.9884999999999999,0.6559999999999999,single_stream
55,0.00028,92.95,95.35,92.64,98.23,88.23,0.000744,81.27,88.55,83.33,94.47,66.17,0.000555,0.8639,0.9198999999999999,0.9041,0.9362,0.7181000000000001,single_stream
56,0.000256,93.46,95.71,92.81,98.79,88.6,0.000876,89.75,93.33,93.12,93.55,85.41,0.001499,0.9018,0.937,0.9675,0.9084,0.8917,single_stream
58,0.000267,93.75,95.88,93.36,98.55,89.33,0.000787,86.93,91.25,93.69,88.94,84.62,0.000396,0.9734999999999999,0.9832,1.0,0.9670000000000001,0.9834999999999999,single_stream
60,0.000262,93.42,95.71,93.1,98.48,88.51,0.00061,90.46,93.85,92.79,94.93,85.34,0.002521,0.7465,0.82,0.7193,0.9534999999999999,0.691,single_stream
61,0.000254,93.41,95.7,92.98,98.58,88.54,0.000468,94.7,96.55,96.33,96.77,92.33,0.006518,0.75,0.8364,0.7931,0.8845999999999999,0.6423000000000001,single_stream
62,0.000269,93.31,95.57,92.99,98.3,88.89,0.00038,93.99,96.06,96.73,95.39,92.39,0.007528,0.7535,0.8371999999999999,0.9890000000000001,0.7258,0.8351000000000001,single_stream
63,0.000274,93.0,95.41,92.35,98.67,87.88,0.000831,83.39,89.39,87.61,91.24,74.41,0.001419,0.8802,0.9242,0.9606,0.8905,0.8619,single_stream
31,0.000423,88.74,92.86,88.35,97.87,79.74,0.000607,89.05,92.84,93.06,92.63,84.95,0.00168,0.7679,0.8,0.6667000000000001,1.0,0.7833,dual_symmetric
34,0.000353,90.49,93.86,90.03,98.02,83.49,0.00172,78.45,84.71,92.86,77.88,79.09,0.000984,0.8889,0.9333,0.9333,0.9333,0.8,dual_symmetric
36,0.000367,89.82,93.45,89.47,97.81,82.26,0.00112,74.56,84.87,77.99,93.09,53.36,0.004024,0.575,0.7302,0.6570999999999999,0.8214,0.4107,dual_symmetric
