subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,accuracy,f1,precision,recall,auc,experiment
31,0.000207,94.56,95.73,93.46,98.13,93.42,0.000359,92.65,94.33,92.86,95.85,91.42,0.002747,0.7375,0.7123,0.5532,1.0,0.8056,single_stream
34,0.000222,94.6,95.72,93.1,98.49,93.48,0.00063,92.06,93.85,92.79,94.93,90.96,0.000463,0.9231,0.9523999999999999,0.9091,1.0,0.8332999999999999,single_stream
36,0.000234,94.23,95.43,92.98,98.02,93.1,0.000839,82.94,86.19,89.16,83.41,82.76,0.002875,0.4286,0.5625,0.5,0.6429,0.39289999999999997,single_stream
37,0.000252,93.52,94.86,92.05,97.85,92.28,0.000605,84.71,88.5,85.11,92.17,81.86,0.001857,0.8244,0.8856,0.7946,1.0,0.7262000000000001,single_stream
38,0.000218,94.39,95.57,93.34,97.9,93.31,0.000708,87.94,90.4,91.9,88.94,87.56,0.003384,0.7770999999999999,0.8240999999999999,0.7321,0.9425,0.757,single_stream
43,0.000208,94.3,95.48,92.72,98.4,93.12,0.000505,94.41,95.67,94.59,96.77,93.51,0.000493,0.9595999999999999,0.9706,0.9851000000000001,0.9565,0.9616,single_stream
44,0.000269,93.69,95.06,92.53,97.74,92.39,0.000595,90.88,92.77,93.87,91.71,90.57,0.001742,0.7559,0.7737,0.7626000000000001,0.7852,0.7539,single_stream
45,0.000269,92.5,93.99,90.6,97.66,91.21,0.000894,83.24,86.9,86.7,87.1,81.76,0.000252,1.0,1.0,1.0,1.0,1.0,single_stream
46,0.000288,92.59,94.31,91.37,97.43,90.9,0.000302,96.18,97.04,95.95,98.16,95.42,0.001846,0.88,0.8636,0.7676999999999999,0.987,0.9,single_stream
49,0.000249,93.83,95.15,92.35,98.13,92.51,0.000476,90.88,92.94,91.89,94.01,89.69,0.002188,0.7482,0.7826000000000001,0.7412000000000001,0.8289,0.7399,single_stream
50,0.000223,94.15,95.38,92.91,97.98,92.99,0.000674,92.94,94.39,95.73,93.09,92.89,0.000282,0.9545,0.9612,0.9254000000000001,1.0,0.9479000000000001,single_stream
51,0.000279,93.09,94.58,91.29,98.12,91.59,0.000777,90.88,92.74,94.29,91.24,90.74,0.004245,0.7288,0.7241,0.875,0.6175999999999999,0.7487999999999999,single_stream
52,0.000243,94.12,95.38,92.73,98.18,92.85,0.000925,84.71,88.13,87.33,88.94,83.09,0.001752,0.8194,0.8434,0.7692,0.9333,0.8145,single_stream
53,0.000217,94.56,95.69,93.35,98.15,93.49,0.000514,90.88,92.87,92.66,93.09,90.04,0.001594,0.8713,0.8926000000000001,0.8852,0.9,0.8645999999999999,single_stream
54,0.000288,92.75,94.32,91.09,97.8,91.22,0.001188,73.53,78.87,80.38,77.42,72.04,0.001964,0.6291,0.6409999999999999,0.7245999999999999,0.5747,0.6389,single_stream
55,0.000261,93.16,94.55,91.72,97.56,91.93,0.001014,68.82,77.92,71.1,86.18,62.19,0.000749,0.7931,0.8636,0.7964,0.9433,0.6973999999999999,single_stream
56,0.000223,93.81,95.07,92.19,98.13,92.63,0.001015,75.59,82.89,75.0,92.63,69.08,0.000997,0.8343,0.88,0.9244,0.8397,0.8298000000000001,single_stream
58,0.000294,92.95,94.46,91.3,97.84,91.51,0.00076,90.59,92.92,89.36,96.77,88.22,0.000535,0.898,0.9206,0.8878,0.956,0.8798,single_stream
60,0.000302,92.02,93.81,90.01,97.95,90.18,0.000652,87.35,90.02,90.65,89.4,86.57,0.001046,0.8427,0.8511,0.7843000000000001,0.9301999999999999,0.8456,single_stream
61,0.000264,93.32,94.74,91.79,97.89,91.95,0.000797,90.0,91.83,95.98,88.02,90.76,0.003248,0.6818000000000001,0.7626999999999999,0.6818000000000001,0.8654000000000001,0.6409999999999999,single_stream
62,0.000226,93.91,95.14,92.22,98.24,92.75,0.00042,88.82,91.81,86.23,98.16,85.26,0.002303,0.816,0.8729,0.9196,0.8306,0.7998999999999999,single_stream
63,0.000251,93.06,94.48,91.25,97.96,91.73,0.000502,95.0,96.06,96.73,95.39,94.85,0.002676,0.8824,0.9154000000000001,0.9675,0.8686,0.8943000000000001,single_stream
31,0.000443,88.22,91.07,86.09,96.67,85.5,0.000693,87.65,89.76,95.34,84.79,88.74,0.003351,0.75,0.6552,0.5938,0.7308,0.745,dual_symmetric
34,0.00024,93.61,94.96,91.78,98.38,92.23,0.000772,90.88,92.81,93.46,92.17,90.39,0.000269,0.9743999999999999,0.9831,1.0,0.9667,0.9833,dual_symmetric
36,0.00038,90.29,92.43,88.77,96.4,88.47,0.000984,90.59,92.73,91.48,94.01,89.28,0.00381,0.6531,0.6667000000000001,0.7391,0.6071,0.6607,dual_symmetric
37,0.000357,91.28,93.16,89.45,97.2,89.58,0.000579,91.47,93.24,94.34,92.17,91.2,0.001338,0.8092,0.8731,0.7963,0.9662999999999999,0.7212000000000001,dual_symmetric
38,0.000325,91.14,93.14,89.18,97.47,89.2,0.000691,92.65,94.17,95.28,93.09,92.48,0.002047,0.7770999999999999,0.8,0.7955,0.8046,0.7737,dual_symmetric
43,0.00034,90.36,92.49,88.29,97.12,88.42,0.001139,76.47,80.95,83.74,78.34,75.76,0.000779,0.9091,0.9301999999999999,1.0,0.8695999999999999,0.9348000000000001,dual_symmetric
44,0.000364,90.23,92.52,88.19,97.3,87.96,0.000758,92.06,93.88,92.41,95.39,90.79,0.001616,0.7913,0.8166,0.7662,0.8741,0.7857999999999999,dual_symmetric
45,0.000317,91.65,93.33,89.74,97.22,90.25,0.000536,88.53,90.95,91.59,90.32,87.84,0.000394,1.0,1.0,1.0,1.0,1.0,dual_symmetric
46,0.000379,90.2,92.58,88.46,97.11,87.78,0.000736,89.71,91.99,91.36,92.63,88.59,0.003118,0.81,0.75,0.76,0.7403,0.797,dual_symmetric
49,0.000396,89.74,92.08,87.94,96.63,87.63,0.000685,85.29,87.98,91.96,84.33,85.66,0.002024,0.7626000000000001,0.795,0.7529,0.8421,0.7544,dual_symmetric
50,0.000397,89.25,91.7,87.44,96.39,87.09,0.001423,77.94,80.42,92.77,70.97,80.61,0.000801,0.8818,0.8926000000000001,0.9153,0.871,0.8834000000000001,dual_symmetric
51,0.000334,90.52,92.69,88.09,97.8,88.34,0.000903,79.12,84.8,79.2,91.24,74.48,0.001105,0.6949,0.7692,0.6818000000000001,0.8824,0.6612,dual_symmetric
52,0.000403,88.8,91.45,86.66,96.79,86.31,0.001455,76.18,79.6,87.78,72.81,77.46,0.000921,0.8542000000000001,0.8695999999999999,0.8140000000000001,0.9333,0.8506999999999999,dual_symmetric
53,0.000339,90.68,92.76,88.77,97.14,88.76,0.001125,80.0,84.68,82.82,86.64,77.46,0.002269,0.5842,0.625,0.6731,0.5832999999999999,0.5843,dual_symmetric
54,0.000421,88.61,91.35,85.82,97.63,85.88,0.001758,70.59,73.82,85.45,64.98,72.73,0.001813,0.6755,0.6839,0.7794,0.6092,0.6873999999999999,dual_symmetric
55,0.000347,90.77,92.76,88.69,97.23,88.97,0.001402,75.0,79.52,83.33,76.04,74.6,0.002217,0.7487999999999999,0.8075,0.8629000000000001,0.7589,0.7423000000000001,dual_symmetric
56,0.000309,91.4,93.26,88.99,97.96,89.6,0.001318,75.29,81.08,79.3,82.95,72.37,0.002128,0.5967,0.6726000000000001,0.8151999999999999,0.5725,0.6163000000000001,dual_symmetric
58,0.0003,92.16,93.86,90.41,97.58,90.56,0.000627,92.94,94.29,97.54,91.24,93.59,0.000975,0.9388,0.9503,0.9556,0.9451,0.9368000000000001,dual_symmetric
60,0.000332,92.05,93.82,90.29,97.64,90.32,0.000634,92.06,93.53,97.5,89.86,92.9,0.005856,0.7753,0.7561,0.7948999999999999,0.7209,0.7735,dual_symmetric
61,0.000342,91.14,93.11,89.25,97.31,89.3,0.001768,87.35,89.38,96.28,83.41,88.86,0.0021,0.8181999999999999,0.84,0.875,0.8077,0.8205,dual_symmetric
62,0.000299,92.09,93.73,90.17,97.59,90.6,0.001372,91.18,92.68,98.45,87.56,92.56,0.007623,0.7484999999999999,0.8019,1.0,0.6694,0.8347,dual_symmetric
